gpc_code,gs1_alliance_manager,gs1_alliance_prefix,gs1_alliance_prefix_range,gs1_prefix,gtin
10000376,GS1 Canada,56100,GS1 US,5,00056100024798
10000483,GS1 Canada,56100,GS1 US,5,00056100663546
10000405,GS1 Canada,56100,GS1 US,5,00056100109099
10000330,GS1 Canada,56100,GS1 US,5,00056100007067
10000781,GS1 Canada,69055,GS1 US,6,00069055842973
10000831,GS1 Canada,69055,GS1 US,6,00069055857892
10000831,GS1 Canada,69055,GS1 US,6,00069055857915
10000831,GS1 Canada,69055,GS1 US,6,00069055859599
10000830,GS1 Canada,69055,GS1 US,6,00069055863992
10000830,GS1 Canada,69055,GS1 US,6,00069055864005
10000349,GS1 Canada,69055,GS1 US,6,00069055867990
10000349,GS1 Canada,69055,GS1 US,6,00069055868003
10000831,GS1 Canada,69055,GS1 US,6,00069055870716
10000831,GS1 Canada,69055,GS1 US,6,00069055870723
10000831,GS1 Canada,69055,GS1 US,6,00069055870730
10000830,GS1 Canada,69055,GS1 US,6,00069055870921
10000830,GS1 Canada,69055,GS1 US,6,00069055870952
10000831,GS1 Canada,69055,GS1 US,6,00069055871089
10000831,GS1 Canada,69055,GS1 US,6,00069055871126
10000831,GS1 Canada,69055,GS1 US,6,00069055871140
10000831,GS1 Canada,69055,GS1 US,6,00069055873366
10000349,GS1 Canada,69055,GS1 US,6,00069055873502
10000349,GS1 Canada,69055,GS1 US,6,00069055873533
10000349,GS1 Canada,69055,GS1 US,6,00069055873540
10000349,GS1 Canada,69055,GS1 US,6,00069055873595
10000349,GS1 Canada,69055,GS1 US,6,00069055873601
10000349,GS1 Canada,69055,GS1 US,6,00069055873632
10000349,GS1 Canada,69055,GS1 US,6,00069055873649
10000349,GS1 Canada,69055,GS1 US,6,00069055873731
10000349,GS1 Canada,69055,GS1 US,6,00069055873762
10000349,GS1 Canada,69055,GS1 US,6,00069055874165
10000831,GS1 Canada,69055,GS1 US,6,00069055875827
10000349,GS1 Canada,69055,GS1 US,6,00069055876145
10000835,GS1 Canada,69055,GS1 US,6,00069055876572
10000831,GS1 Canada,69055,GS1 US,6,00069055877531
10000831,GS1 Canada,69055,GS1 US,6,00069055877548
10000831,GS1 Canada,69055,GS1 US,6,00069055877555
10000349,GS1 Canada,69055,GS1 US,6,00069055877593
10000349,GS1 Canada,69055,GS1 US,6,00069055877647
10000831,GS1 Canada,69055,GS1 US,6,00069055877678
10000349,GS1 Canada,69055,GS1 US,6,00069055877753
10000349,GS1 Canada,69055,GS1 US,6,00069055877777
10000349,GS1 Canada,69055,GS1 US,6,00069055877784
10000349,GS1 Canada,69055,GS1 US,6,00069055877791
10000349,GS1 Canada,69055,GS1 US,6,00069055877807
10000349,GS1 Canada,69055,GS1 US,6,00069055877852
10000831,GS1 Canada,69055,GS1 US,6,00069055878392
10000831,GS1 Canada,69055,GS1 US,6,00069055878439
10000831,GS1 Canada,69055,GS1 US,6,00069055878446
