brandName_0_lang,brandName_0_value,brandName_1_lang,brandName_1_value,brandName_2_lang,brandName_2_value,gpcCode,gtin,netContent_0_measurementUnitCode,netContent_0_quantity,netContent_1_measurementUnitCode,netContent_1_quantity,netContent_2_measurementUnitCode,netContent_2_quantity,netContent_3_measurementUnitCode,netContent_3_quantity,netContent_4_measurementUnitCode,netContent_4_quantity,status,targetMarketCountryCode_0,targetMarketCountryCode_1,targetMarketCountryCode_2,tradeItemDescription_0_lang,tradeItemDescription_0_value,tradeItemDescription_1_lang,tradeItemDescription_1_value,tradeItemDescription_2_lang,tradeItemDescription_2_value,tradeItemImageUrl_0_lang,tradeItemImageUrl_0_value,tradeItemImageUrl_1_lang,tradeItemImageUrl_1_value,tradeItemImageUrl_2_lang,tradeItemImageUrl_2_value
pt-BR,Aussie,en-US,Aussie,,,10000346,00381519004711,OZA,8,MLT,236,,,,,,,ACTIVE,BR,US,,pt-BR,Creme de Tratamiento Aussie 3 Minute Miracle Moist 236ml,en-US,"Dry Hair Repair - Aussie Paraben-Free Miracle Moist 3 Minute Miracle Conditioner w/ Avocado, 8.0 fl oz",,,pt-BR,https://delivery.pgbrandstore.com/api/public/content/fpc_80302726_master_preview,en-US,https://delivery.pgbrandstore.com/api/public/content/fpc_80320665_master_preview,,
pt-BR,Aussie,en-US,Aussie,,,10000346,00381519181375,OZA,8,MLT,236,,,,,,,ACTIVE,BR,US,,pt-BR,Creme de Tratamiento Aussie 3 Minute Miracle Strong 236ml,en-US,"Damage Repair - Aussie Paraben-Free Total Miracle 3 Minute Miracle Conditioner w/ Apricot, 8.0 fl oz",,,en-US,https://delivery.pgbrandstore.com/api/public/content/fpc_80320661_master_preview,,,,
pt-BR,Aussie,en-US,Aussie,,,10000346,00381519181863,OZA,8,MLT,236,,,,,,,ACTIVE,BR,US,,pt-BR,Creme de Tratamiento Aussie 3 Minute Miracle Smooth 236ml,en-US,"For Frizzy Hair – Aussie Paraben-Free Miracle Smooth 3 Minute Miracle Conditioner w/ Avocado, 8.0 fl oz",,,en-US,https://delivery.pgbrandstore.com/api/public/content/fpc_80320662_master_preview,,,,
pt-BR,Gillette,,,,,10000535,00000075062613,GRM,56,MLT,57,,,,,,,ACTIVE,BR,,,pt-BR,Gillette Prestobarba Sensitive Pele Sensível Espuma De Barbear 57 ml,,,,,pt-BR,https://delivery.pgbrandstore.com/api/public/content/fpc_80306953_master_preview,,,,
pt-BR,Gillette,es-MX,Gillette,en-US,Gillette,10000535,00047400130715,GRM,198,OZA,7,,,,,,,ACTIVE,BR,MX,US,pt-BR,Gel de Barbear Gillette Mach 3 Hidratante 1 Unidad 198 g,es-MX,Gillette Mach3 Complete Defense Extra Comfort Gel De Afeitar 198 g,en-US,"Gillette Series Moisturizing Shave Gel, 7 Oz",pt-BR,https://delivery.pgbrandstore.com/api/public/content/fpc_80321587_master_preview,es-MX,https://delivery.pgbrandstore.com/api/public/content/fpc_80321587_master_preview,en-US,https://delivery.pgbrandstore.com/api/public/content/fpc_80319405_master_preview
pt-BR,Gillette,es-MX,Gillette,,,10000369,00047400179240,1N,2,,,,,,,,,ACTIVE,BR,MX,,pt-BR,Cartuchos de barbear  Gillette Mach3 2 Unidades,es-MX,Gillette Mach3 Cartuchos Para Afeitar 2 Unidades,,,pt-BR,https://delivery.pgbrandstore.com/api/public/content/fpc_80308873_master_preview,es-MX,https://delivery.pgbrandstore.com/api/public/content/fpc_80308845_master_preview,,
pt-BR,Gillette,es-MX,Gillette,,,10000369,00047400179660,1N,4,,,,,,,,,ACTIVE,BR,MX,,pt-BR,Carga Gillette Mach3 Regular- 4 unidades,es-MX,Gillette Mach3 Cartuchos Para Afeitar 4 Unidades,,,pt-BR,https://delivery.pgbrandstore.com/api/public/content/fpc_80308875_master_preview,es-MX,https://delivery.pgbrandstore.com/api/public/content/fpc_80308847_master_preview,,
pt-BR,Metamucil,,,,,10000866,00020800750158,GRM,174,,,,,,,,,ACTIVE,BR,,,pt-BR,Metamucil  Plantago Ovata Forssk Superfibra Natural Sabor Laranja 30 doses - 174 g,,,,,pt-BR,https://delivery.pgbrandstore.com/api/public/content/fpc_80308686_master_preview,,,,
pt-BR,Metamucil,,,,,10000866,00020800750165,1N,10,,,,,,,,,ACTIVE,BR,,,pt-BR,Metamucil Plantago Ovata Forssk Superfibra Natural Sabor Laranja 10 envelopes - 58.5 g,,,,,pt-BR,https://delivery.pgbrandstore.com/api/public/content/fpc_80314778_master_preview,,,,
pt-BR,Oral-B,es-MX,Oral-B,,,10000384,00300410826154,1N,1,,,,,,,,,ACTIVE,BR,MX,,pt-BR,Oral-B Escova Dental Ortodôntica,es-MX,Oral-B Cepillo Ortodontico 1 unidad,,,pt-BR,https://delivery.pgbrandstore.com/api/public/content/fpc_80281749_master_preview,es-MX,https://delivery.pgbrandstore.com/api/public/content/fpc_80307149_master_preview,,
pt-BR,Tampax,,,,,10000320,00020800600323,1N,10,,,,,,,,,ACTIVE,BR,,,pt-BR,Tampax Cartão Regular Absorventes Internos 10 Unidades,,,,,pt-BR,https://delivery.pgbrandstore.com/api/public/content/fpc_80275115_master_preview,,,,
pt-BR,Tampax,,,,,10000320,00020800600330,1N,10,,,,,,,,,ACTIVE,BR,,,pt-BR,Tampax Cartão Super Absorventes Internos 10 Unidades,,,,,pt-BR,https://delivery.pgbrandstore.com/api/public/content/fpc_80275116_master_preview,,,,
pt-BR,Tampax,es-MX,Tampax,,,10000320,00020800600347,1N,10,,,,,,,,,ACTIVE,BR,MX,,pt-BR,Tampax Cartão Super Plus Absorventes Internos 10 Unidades,es-MX,Tampax Super Plus Absorventes Internos 10 Unidades,,,pt-BR,https://delivery.pgbrandstore.com/api/public/content/fpc_80310542_master_preview,es-MX,https://delivery.pgbrandstore.com/api/public/content/fpc_80310542_master_preview,,
pt-BR,Venus,es-MX,Venus,en-US,Gillette,10000535,00047400141490,GRM,198,ONZ,7,,,,,,,ACTIVE,BR,MX,US,pt-BR,Gel para Depilação Gillette Venus Satin Care - 200 ml,es-MX,Gillette Satin Care Sensitive Gel Para Afeitar 198 g,en-US,Gillette Satin Care Sensitive Skin Shave Gel for Women 7 Oz,pt-BR,https://delivery.pgbrandstore.com/api/public/content/fpc_80258096_master_preview,es-MX,https://delivery.pgbrandstore.com/api/public/content/fpc_80321591_master_preview,en-US,https://delivery.pgbrandstore.com/api/public/content/fpc_80317245_master_preview
pt-BR,Vick,,,,,10000875,00000075066857,GRM,12,,,,,,,,,ACTIVE,BR,,,pt-BR,Vick BabyRub Bálsamo para bebês 12 g ,,,,,pt-BR,https://delivery.pgbrandstore.com/api/public/content/fpc_80322922_master_preview,,,,
pt-BR,Vick Inhaler,,,,,10000877,00000078911239,GRM,0.5,,,,,,,,,ACTIVE,BR,,,pt-BR,Vick Inalador para congestão nasal 1 unidade,,,,,pt-BR,https://delivery.pgbrandstore.com/api/public/content/fpc_80265078_master_preview,,,,
